k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
18.4,1.13333333333333,0,28.8,13.3333333333333,5.81818181818182,16.4285714285714,7.15789473684211,68,4,4,78.8333333333333,7854,4726
18.4,1.43333333333333,0,29.6,33.3333333333333,5.63636363636364,37.1428571428571,8.21052631578947,132,4.33333333333333,4,58.6666666666667,6108,3990
20.8,1.5,0,48,21.3333333333333,9.09090909090909,46.4285714285714,7.15789473684211,148,3.66666666666667,8,62.3333333333333,4906,2763
17.2,1.3,0,49.6,20.6666666666667,2.90909090909091,30.7142857142857,9.26315789473684,112,4,4,75.1666666666667,4597,3853
16,1,0,44.8,28,9.09090909090909,31.4285714285714,6.63157894736842,148,4.33333333333333,4,77,5916,3974
17.2,1.3,19.375,39.2,27.3333333333333,5.81818181818182,41.4285714285714,7.57894736842105,136,3,0,86.1666666666667,6656,4131
14.8,1.53333333333333,0,42.4,14,15.2727272727273,25.7142857142857,6.84210526315789,116,3,8,58.6666666666667,7172,3538
12.4,0.666666666666667,20,27.2,21.3333333333333,9.09090909090909,23.5714285714286,6,96,3.33333333333333,8,40.3333333333333,7042,3342
16.8,1.46666666666667,0,32,20.6666666666667,2.90909090909091,20.7142857142857,6.31578947368421,52,3,4,69.6666666666667,5760,2673
15.6,1.3,19.375,38.4,28,8.90909090909091,29.2857142857143,5.78947368421053,104,4.33333333333333,4,80.6666666666667,4936,1793
13.6,0.833333333333333,20,48,21.3333333333333,0,27.1428571428571,5.89473684210526,96,6.33333333333333,0,51.3333333333333,5335,2324
14.4,0.866666666666667,0,35.2,32,6.18181818181818,27.8571428571429,7.78947368421053,124,6.33333333333333,4,47.6666666666667,5562,2634
9.2,1,20,40.8,21.3333333333333,18.1818181818182,36.4285714285714,7.26315789473684,96,5.33333333333333,16,62.3333333333333,5664,2578
13.2,0.833333333333333,20,35.2,14,3.09090909090909,57.8571428571429,6,124,5.66666666666667,12,47.6666666666667,5057,2370
11.6,0.666666666666667,0,24,10,0,28.5714285714286,5.89473684210526,120,2.66666666666667,12,55,4726,2277
13.6,0.666666666666667,0,23.2,38,2.90909090909091,20.7142857142857,5.68421052631579,84,3,11,75.1666666666667,3990,1630
16,0.333333333333333,0,36,32,6,35,5.89473684210526,88,3.33333333333333,20,45.8333333333333,2763,1217
12.8,0.666666666666667,0,31.2,14,6,32.8571428571429,5.78947368421053,108,4,28,20.1666666666667,3853,1568
11.6,0.666666666666667,0,32,32,6,21.4285714285714,6,88,6,20,25.6666666666667,3974,1886
13.6,1.8,0,20.8,6.66666666666667,2.90909090909091,14.2857142857143,6.52631578947368,104,4.33333333333333,11,25.6666666666667,4131,1690
9.2,0.833333333333333,0,24,10.6666666666667,3.09090909090909,26.4285714285714,5.78947368421053,148,5.33333333333333,0,25.6666666666667,3538,1300
8.4,0,19.375,17.6,17.3333333333333,5.81818181818182,17.8571428571429,5.36842105263158,120,4,8,49.5,3342,1360
13.2,1.3,0,14.4,16.6666666666667,2.90909090909091,15,4.73684210526316,76,2.33333333333333,4,14.6666666666667,2673,1362
10,0.966666666666667,38.75,24,17.3333333333333,11.6363636363636,21.4285714285714,5.15789473684211,156,4.66666666666667,11,34.8333333333333,1793,965
7.6,0.333333333333333,0,26.4,0,2.90909090909091,22.8571428571429,4.94736842105263,124,4,12,14.6666666666667,2324,1308
10.4,1.2,20,25.6,14,0,31.4285714285714,5.89473684210526,292,4,8,25.6666666666667,2634,1448
11.6,0.866666666666667,0,24.8,10.6666666666667,9.27272727272727,29.2857142857143,5.36842105263158,188,3.33333333333333,8,36.6666666666667,2578,1536
6,0.333333333333333,0,22.4,7.33333333333333,12.1818181818182,20.7142857142857,5.26315789473684,116,3,20,11,2370,1301
9.6,0,20,16.8,21.3333333333333,9.09090909090909,10,5.15789473684211,116,2.66666666666667,0,36.6666666666667,2277,1233
11.2,0.333333333333333,19.375,17.6,14,2.90909090909091,17.8571428571429,4.94736842105263,148,2.33333333333333,0,14.6666666666667,1630,1032
9.6,0.5,0,19.2,17.3333333333333,14.7272727272727,18.5714285714286,4.84210526315789,156,3.66666666666667,4,11,1217,740
9.6,0.966666666666667,19.375,20,14,5.81818181818182,20,6.21052631578947,92,2.66666666666667,0,14.6666666666667,1568,1081
9.2,1.36666666666667,20,20,7.33333333333333,3.09090909090909,13.5714285714286,5.47368421052632,144,3,4,25.6666666666667,1886,921
10,0.5,0,22.4,14,0,30,5.05263157894737,160,3.66666666666667,0,36.6666666666667,1690,1076
8.8,0.5,0,24,14,0,21.4285714285714,4.10526315789474,96,4.33333333333333,0,11,1300,1054
7.2,0.333333333333333,0,17.6,21.3333333333333,3.09090909090909,18.5714285714286,4.94736842105263,80,4.33333333333333,4,20.1666666666667,1360,1213
9.2,0.5,0,14.4,20.6666666666667,0,10.7142857142857,4.73684210526316,24,5,4,14.6666666666667,1362,999
10,1.16666666666667,20,25.6,10.6666666666667,8.90909090909091,15,4.10526315789474,156,4,4,14.6666666666667,965,698
7.6,0.333333333333333,0,20.8,10.6666666666667,8.90909090909091,25.7142857142857,4.42105263157895,76,5.66666666666667,8,5.5,1308,888
7.6,0.866666666666667,0,25.6,14,3.09090909090909,23.5714285714286,4.94736842105263,88,4.66666666666667,12,20.1666666666667,1448,1243
9.2,0.166666666666667,0,18.4,10.6666666666667,6,25.7142857142857,4.84210526315789,104,4.66666666666667,20,20.1666666666667,1536,1169
9.6,0.666666666666667,0,20.8,6.66666666666667,6,21.4285714285714,4.94736842105263,148,4.66666666666667,27,11,1301,1148
7.6,0.666666666666667,0,12.8,3.33333333333333,6,12.1428571428571,4.31578947368421,44,3.33333333333333,8,20.1666666666667,1233,1050
7.6,0.5,0,14.4,17.3333333333333,8.72727272727273,7.85714285714286,4.42105263157895,76,3.66666666666667,4,25.6666666666667,1032,1064
8,0.633333333333333,19.375,23.2,10,2.90909090909091,20.7142857142857,4,108,4.66666666666667,15,20.1666666666667,740,600
8.8,0.333333333333333,39.375,23.2,3.33333333333333,2.90909090909091,26.4285714285714,4.42105263157895,120,5,16,31.1666666666667,1081,1127
7.6,0.5,0,20.8,14,0,16.4285714285714,4.63157894736842,72,5.66666666666667,56,36.6666666666667,921,1313
8.4,0.333333333333333,40.625,20,10.6666666666667,6,21.4285714285714,4.21052631578947,116,9,44,16.5,1076,1317
8,0.666666666666667,0,20,10.6666666666667,6,17.1428571428571,3.89473684210526,176,11.3333333333333,16,25.6666666666667,1054,1271
9.2,0.666666666666667,0,16,10,0,21.4285714285714,3.78947368421053,96,7.66666666666667,23,29.3333333333333,1213,1319
8.8,0.633333333333333,19.375,16.8,13.3333333333333,2.90909090909091,18.5714285714286,4.73684210526316,92,5.33333333333333,15,0,999,987
8.8,0.433333333333333,0,29.6,9.33333333333333,7.63636363636364,27.1428571428571,4.10526315789474,104,8.33333333333333,34,38.5,698,695
9.2,0.566666666666667,0,22.4,20.6666666666667,2.54545454545455,20.7142857142857,3.78947368421053,132,17.6666666666667,30,22,888,1133
9.6,0.833333333333333,0,22.4,21.3333333333333,3.09090909090909,28.5714285714286,4,96,11,28,45.8333333333333,1243,1533
8.4,0.166666666666667,0,26.4,6.66666666666667,2.90909090909091,25.7142857142857,4.10526315789474,104,8,28,20.1666666666667,1169,1497
8.4,1.16666666666667,0,23.2,14,0,19.2857142857143,3.89473684210526,124,6.66666666666667,39,25.6666666666667,1148,1463
10,0,0,18.4,6.66666666666667,2.90909090909091,15,4.31578947368421,44,5.66666666666667,8,25.6666666666667,1050,1516
10,0.933333333333333,0,19.2,13.3333333333333,5.63636363636364,15,3.89473684210526,16,6.33333333333333,25,33,1064,1118
10,0.833333333333333,19.375,25.6,17.3333333333333,8.72727272727273,22.8571428571429,3.57894736842105,68,8,16,20.1666666666667,600,816
6,0.8,0,23.2,20.6666666666667,5.81818181818182,17.8571428571429,3.78947368421053,92,7,23,25.6666666666667,1127,1500
9.6,1.66666666666667,20,29.6,7.33333333333333,6,24.2857142857143,3.78947368421053,68,6.66666666666667,31,34.8333333333333,1313,1917
8.8,0.666666666666667,0,28,17.3333333333333,8.72727272727273,16.4285714285714,3.78947368421053,84,7,23,20.1666666666667,1317,1915
10,1.63333333333333,0,23.2,28,0,20,3.57894736842105,36,8,31,51.3333333333333,1271,2025
10.4,1,0,17.6,3.33333333333333,3.09090909090909,10,3.89473684210526,44,5,16,42.1666666666667,1319,2071
11.6,0.8,0,24,30,0,11.4285714285714,3.89473684210526,60,4.66666666666667,23,14.6666666666667,987,1782
12.4,0.333333333333333,0,31.2,20,2.90909090909091,18.5714285714286,3.78947368421053,136,6,11,44,695,1345
13.2,0.8,19.375,34.4,3.33333333333333,2.90909090909091,26.4285714285714,4,104,7,31,49.5,1133,2087
13.6,1.5,0,33.6,17.3333333333333,6,34.2857142857143,4,104,7.33333333333333,31,34.8333333333333,1533,2843
12.8,1.16666666666667,0,25.6,14,0,21.4285714285714,4.31578947368421,140,6.33333333333333,47,45.8333333333333,1497,2605
12.4,0.966666666666667,0,28.8,6.66666666666667,5.81818181818182,17.8571428571429,3.78947368421053,104,8,38,55,1463,2757
11.2,0.333333333333333,0,23.2,21.3333333333333,6,15,4,96,5.33333333333333,28,20.1666666666667,1516,2772
14.4,0.466666666666667,0,21.6,32.6666666666667,0,13.5714285714286,4.21052631578947,84,6.33333333333333,15,47.6666666666667,1118,2468
10.4,0.333333333333333,19.375,32,24,0,27.1428571428571,3.89473684210526,400,6.33333333333333,43,75.1666666666667,816,1572
11.6,1,40,40,21.3333333333333,2.90909090909091,22.1428571428571,4.31578947368421,132,7,79,77,1500,2668
12.8,1.2,0,40.8,10.6666666666667,12.1818181818182,25,4.42105263157895,188,8.66666666666667,100,124.666666666667,1917,3449
14.4,0.7,40.625,32.8,21.3333333333333,6.18181818181818,31.4285714285714,4.94736842105263,152,7.33333333333333,68,84.3333333333333,1915,3498
14,1.2,20.625,36.8,7.33333333333333,3.09090909090909,28.5714285714286,4.21052631578947,108,5.33333333333333,85,84.3333333333333,2025,3488
14.4,1.03333333333333,0,29.6,7.33333333333333,3.09090909090909,17.8571428571429,4.84210526315789,108,5,41,25.6666666666667,2071,3765
16,1.33333333333333,0,28.8,20.6666666666667,2.90909090909091,15,4.73684210526316,156,8.66666666666667,35,40.3333333333333,1782,2836
13.7142857142857,0.888888888888889,11.25,41.6,23.3859649122807,0,28.8461538461538,4.67451523545706,195,6.80555555555555,28,72.6,1345,2102
14.0952380952381,1.09401709401709,10.625,49.6,22.8421052631579,3.81818181818182,20.7692307692308,4.67451523545706,156,6.02777777777778,58.3333333333333,104.866666666667,2087,3451
16.3809523809524,1.12820512820513,0,49.6,14.6842105263158,0,20.7692307692308,4.54986149584488,218.4,6.51388888888889,59.1111111111111,104.866666666667,2843,4307
17.1428571428571,0.683760683760684,0,59.2,5.98245614035088,7.81818181818182,24.2307692307692,4.98614958448753,195,5.15277777777778,70.7777777777778,92.7666666666667,2605,4570
14.4761904761905,1.57264957264957,0,54.4,8.70175438596491,11.6363636363636,24.2307692307692,4.2382271468144,218.4,3.98611111111111,52.1111111111111,133.1,2757,4525
14.0952380952381,2.94017094017094,10,44.8,8.1578947368421,0,16.1538461538462,4.79916897506925,140.4,3.11111111111111,29.5555555555556,72.6,2772,4794
15.2380952380952,1.74358974358974,10.625,51.2,8.70175438596491,0,16.1538461538462,4.98614958448753,124.8,4.18055555555556,61.4444444444444,108.9,2468,4086
20.5714285714286,1.12820512820513,11.25,54.4,11.9649122807018,4,32.3076923076923,4.61218836565097,241.8,4.375,59.8888888888889,121,1572,2919
17.5238095238095,1.81196581196581,11.25,68.8,23.9298245614035,15.8181818181818,30,4.92382271468144,218.4,4.76388888888889,60.6666666666667,72.6,2668,4336
18.2857142857143,2.4957264957265,11.25,65.6,14.6842105263158,7.81818181818182,33.4615384615385,5.29778393351801,304.2,6.61111111111111,67.6666666666667,104.866666666667,3449,5288
18.6666666666667,2.22222222222222,0,73.6,20.6666666666667,11.6363636363636,28.8461538461538,4.92382271468144,335.4,6.70833333333333,70,169.4,3498,5493
18.6666666666667,1.12820512820513,0,67.2,20.6666666666667,11.6363636363636,32.3076923076923,4.54986149584488,241.8,5.83333333333333,63,173.433333333333,3488,5106
17.9047619047619,1.53846153846154,21.875,51.2,23.3859649122807,7.63636363636364,15,4.86149584487535,202.8,3.88888888888889,45.1111111111111,76.6333333333333,3765,5596
16.3809523809524,0.854700854700855,0,49.6,14.140350877193,3.81818181818182,13.8461538461538,5.23545706371191,210.6,4.56944444444444,50.5555555555556,80.6666666666667,2836,4601
19.8095238095238,3.17948717948718,0,73.6,23.3859649122807,4,30,4.42520775623269,327.6,5.44444444444445,73.8888888888889,141.166666666667,2102,3314
21.3333333333333,1.33333333333333,0,73.6,17.4035087719298,11.6363636363636,33.4615384615385,5.29778393351801,327.6,5.05555555555556,63,165.366666666667,3451,4959
19.8095238095238,1.33333333333333,0,80,20.1228070175439,11.4545454545455,25.3846153846154,4.42520775623269,491.4,4.95833333333333,65.3333333333333,108.9,4307,5788
18.2857142857143,0.82051282051282,0,64,8.1578947368421,14.3636363636364,40.3846153846154,4.98614958448753,226.2,3.11111111111111,58.3333333333333,125.033333333333,4570,5905
20.1904761904762,2.15384615384615,10.625,65.6,2.71929824561404,0,34.6153846153846,4.17590027700831,327.6,4.375,43.5555555555556,100.833333333333,4525,4684
17.5238095238095,0.854700854700855,10.625,68.8,16.859649122807,3.63636363636364,19.6153846153846,4.42520775623269,257.4,3.11111111111111,49.7777777777778,72.6,4794,5983
17.1428571428571,1.26495726495727,20.625,44.8,13.5964912280702,0,18.4615384615385,4.61218836565097,195,3.11111111111111,26.4444444444444,84.7,4086,5893
18.6666666666667,2.18803418803419,21.25,56,17.4035087719298,3.81818181818182,12.6923076923077,5.23545706371191,226.2,3.30555555555556,48.2222222222222,76.6333333333333,2919,4464
23.6190476190476,3.17948717948718,0,44.8,13.5964912280702,3.63636363636364,15,3.98891966759003,132.6,2.33333333333333,63,125.033333333333,4336,4194
28.1904761904762,2.66666666666667,0,57.6,21.7543859649123,0,15,4.73684210526316,358.8,3.20833333333333,35,100.833333333333,5288,4063
25.9047619047619,1.70940170940171,10.625,81.6,19.5789473684211,0,26.5384615384615,4.67451523545706,499.2,3.69444444444444,70.7777777777778,108.9,5493,4371
22.0952380952381,1.05982905982906,10.625,75.2,22.2982456140351,3.63636363636364,28.8461538461538,4.61218836565097,397.8,4.27777777777778,59.8888888888889,141.166666666667,5106,6049
22.8571428571429,2.15384615384615,0,62.4,22.2982456140351,7.45454545454545,18.4615384615385,4.86149584487535,304.2,4.18055555555556,59.8888888888889,121,5596,7233
20.952380952381,1.70940170940171,0,52.8,14.140350877193,0,19.6153846153846,5.23545706371191,265.2,3.59722222222222,53.6666666666667,112.933333333333,4601,6483
20.1904761904762,2.42735042735043,10.625,94.4,20.1228070175439,11.4545454545455,43.8461538461538,5.42243767313019,639.6,6.125,58.3333333333333,157.3,3314,4939
21.3333333333333,0.64957264957265,0,75.2,28.280701754386,3.81818181818182,34.6153846153846,5.04847645429363,608.4,5.05555555555556,63.7777777777778,189.566666666667,4959,6238
20.5714285714286,1.09401709401709,0,78.4,20.1228070175439,7.63636363636364,47.3076923076923,5.11080332409972,530.4,3.59722222222222,51.3333333333333,149.233333333333,5788,7049
19.4285714285714,1.74358974358974,0,83.2,22.8421052631579,11.2727272727273,36.9230769230769,6.23268698060942,569.4,4.66666666666667,77.7777777777778,197.633333333333,5905,6874
22.4761904761905,1.5042735042735,10.625,67.2,2.71929824561404,11.2727272727273,38.0769230769231,5.11080332409972,374.4,3.5,50.5555555555556,116.966666666667,4684,6263
15.6190476190476,1.70940170940171,0,48,10.8771929824561,3.63636363636364,27.6923076923077,4.86149584487535,249.6,2.81944444444444,33.4444444444444,121,5983,6418
16.7619047619048,2.05128205128205,0,56,26.6491228070175,0,24.2307692307692,5.11080332409972,436.8,2.72222222222222,35,96.8,5893,5256
20.5714285714286,1.05982905982906,10,73.6,13.5964912280702,10.9090909090909,34.6153846153846,5.3601108033241,780,2.72222222222222,29.5555555555556,157.3,4464,3676
15.6190476190476,1.70940170940171,10.625,64,22.2982456140351,7.45454545454545,23.0769230769231,4.92382271468144,561.6,2.81944444444444,39.6666666666667,161.333333333333,4194,5224
13.3333333333333,1.88034188034188,20,57.6,21.7543859649123,0,40.3846153846154,5.17313019390582,585,6.61111111111111,28.7777777777778,129.066666666667,4063,5789
15.6190476190476,1.91452991452991,0,52.8,13.5964912280702,0,48.4615384615385,4.48753462603878,452.4,7.19444444444445,16.3333333333333,165.366666666667,4371,5712
12.1904761904762,1.02564102564103,0,51.2,21.7543859649123,0,43.8461538461538,4.48753462603878,405.6,3.98611111111111,35.7777777777778,96.8,6049,5247
15.2380952380952,2.18803418803419,0,41.6,20.1228070175439,0,24.2307692307692,4.98614958448753,304.2,2.13888888888889,27.2222222222222,80.6666666666667,7233,5037
13.3333333333333,1.5042735042735,10.625,41.6,14.140350877193,3.81818181818182,24.2307692307692,4.92382271468144,374.4,2.72222222222222,17.1111111111111,80.6666666666667,6483,4042
15.6190476190476,2.18803418803419,0,68.8,14.140350877193,7.63636363636364,47.3076923076923,4.54986149584488,694.2,3.98611111111111,17.1111111111111,137.133333333333,4939,2711
14.4761904761905,2.83760683760684,0,44.8,22.8421052631579,3.81818181818182,42.6923076923077,4.73684210526316,608.4,5.93055555555555,44.3333333333333,76.6333333333333,6238,3894
14.0952380952381,0.64957264957265,20.625,41.6,14.140350877193,7.45454545454545,30,4.36288088642659,327.6,9.72222222222222,23.3333333333333,84.7,7049,4533
12.1904761904762,1.5042735042735,0,43.2,19.5789473684211,11.2727272727273,32.3076923076923,5.17313019390582,288.6,6.70833333333333,17.1111111111111,52.4333333333333,6874,4136
11.4285714285714,1.53846153846154,10.625,48,14.140350877193,3.81818181818182,36.9230769230769,4.73684210526316,351,6.70833333333333,24.1111111111111,116.966666666667,6263,3706
10.6666666666667,0.854700854700855,0,30.4,8.70175438596491,3.81818181818182,27.6923076923077,4.67451523545706,234,5.15277777777778,13.2222222222222,48.4,6418,3592
10.6666666666667,0.615384615384615,0,36.8,13.5964912280702,10.9090909090909,23.0769230769231,5.11080332409972,288.6,3.30555555555556,36.5555555555556,32.2666666666667,5256,2876
10.6666666666667,0.205128205128205,0,51.2,16.859649122807,0,26.5384615384615,4.98614958448753,483.6,5.15277777777778,33.4444444444444,121,3676,1792
11.4285714285714,1.09401709401709,10.625,46.4,22.8421052631579,11.2727272727273,42.6923076923077,4.92382271468144,460.2,3.98611111111111,44.3333333333333,96.8,5224,2643
12.1904761904762,0.854700854700855,0,38.4,22.8421052631579,7.63636363636364,42.6923076923077,5.29778393351801,429,4.76388888888889,10.1111111111111,60.5,5789,3035
8.76190476190476,0.854700854700855,0,43.2,5.43859649122807,3.63636363636364,40.3846153846154,4.79916897506925,413.4,3.98611111111111,16.3333333333333,40.3333333333333,5712,2830
9.14285714285714,0.82051282051282,0,35.2,13.5964912280702,0,47.3076923076923,4.11357340720222,358.8,3.11111111111111,19.4444444444444,52.4333333333333,5247,2594
9.90476190476191,0.444444444444445,0,25.6,8.70175438596491,0,31.1538461538462,4.73684210526316,249.6,2.91666666666667,20.2222222222222,28.2333333333333,5037,2651
8,0.615384615384615,20.625,28.8,5.43859649122807,3.63636363636364,24.2307692307692,4.79916897506925,241.8,2.81944444444444,19.4444444444444,40.3333333333333,4042,2021
10.2857142857143,1.09401709401709,0,28.8,8.70175438596491,0,33.4615384615385,4.54986149584488,483.6,4.18055555555556,17.1111111111111,32.2666666666667,2711,1278
10.2857142857143,0.64957264957265,0,35.2,11.4210526315789,0,36.9230769230769,4.86149584487535,312,2.72222222222222,13.2222222222222,60.5,3894,1881
9.52380952380952,0.444444444444445,0,33.6,5.43859649122807,7.45454545454545,36.9230769230769,5.23545706371191,351,3.20833333333333,27.2222222222222,72.6,4533,2238
10.2857142857143,1.2991452991453,0,30.4,16.859649122807,7.63636363636364,38.0769230769231,4.42520775623269,436.8,3.20833333333333,10.1111111111111,48.4,4136,2045
4.95238095238095,1.2991452991453,0,32,14.140350877193,0,31.1538461538462,4.42520775623269,234,3.11111111111111,7,12.1,3706,1934
8.76190476190476,1.74358974358974,10.625,20.8,8.70175438596491,3.81818181818182,23.0769230769231,4.11357340720222,273,2.13888888888889,10.1111111111111,20.1666666666667,3592,1941
8.76190476190476,1.05982905982906,20.625,25.6,2.71929824561404,7.27272727272727,20.7692307692308,4.2382271468144,257.4,2.43055555555556,10.1111111111111,12.1,2876,1384
8.38095238095238,0.82051282051282,10,32,13.5964912280702,18.1818181818182,33.4615384615385,4.11357340720222,397.8,3.98611111111111,13.2222222222222,24.2,1792,934
7.61904761904762,1.05982905982906,10.625,32,16.859649122807,0,30,4.73684210526316,421.2,3.5,20.2222222222222,40.3333333333333,2643,1417
8.76190476190476,0.64957264957265,0,32,14.140350877193,3.63636363636364,39.2307692307692,4.36288088642659,351,4.08333333333333,23.3333333333333,48.4,3035,1708
8.38095238095238,0.64957264957265,10.625,27.2,2.71929824561404,11.2727272727273,42.6923076923077,4.11357340720222,483.6,3.11111111111111,30.3333333333333,52.4333333333333,2830,1550
6.85714285714286,0.64957264957265,10.625,25.6,16.859649122807,0,32.3076923076923,4.17590027700831,421.2,2.23611111111111,33.4444444444444,32.2666666666667,2594,1621
7.23809523809524,0.205128205128205,10.625,24,19.5789473684211,0,31.1538461538462,3.98891966759003,296.4,1.55555555555556,20.2222222222222,28.2333333333333,2651,1519
8.76190476190476,0.444444444444445,0,20.8,2.71929824561404,0,32.3076923076923,4.2382271468144,343.2,2.13888888888889,10.1111111111111,56.4666666666667,2021,1307
7.23809523809524,1.2991452991453,10.625,30.4,8.70175438596491,3.81818181818182,48.4615384615385,4.2382271468144,460.2,3.98611111111111,7,52.4333333333333,1278,868
7.23809523809524,0.64957264957265,10.625,27.2,22.8421052631579,3.81818181818182,31.1538461538462,4.3005540166205,507,3.98611111111111,30.3333333333333,40.3333333333333,1881,1435
7.61904761904762,1.09401709401709,10.625,33.6,14.140350877193,3.81818181818182,35.7692307692308,3.98891966759003,507,3.5,23.3333333333333,40.3333333333333,2238,1779
9.90476190476191,0,0,32,5.98245614035088,3.81818181818182,40.3846153846154,3.55263157894737,553.8,3.20833333333333,34.2222222222222,56.4666666666667,2045,1674
8.76190476190476,0.64957264957265,10.625,25.6,20.1228070175439,11.4545454545455,35.7692307692308,3.2409972299169,429,2.52777777777778,27.2222222222222,48.4,1934,1709
6.85714285714286,0.64957264957265,10.625,20.8,8.70175438596491,3.81818181818182,28.8461538461538,3.98891966759003,218.4,2.13888888888889,21,28.2333333333333,1941,1630
8.76190476190476,1.05982905982906,10.625,17.6,8.1578947368421,3.81818181818182,31.1538461538462,4.3005540166205,351,2.33333333333333,7,48.4,1384,1282
8.76190476190476,0.444444444444445,0,32,5.43859649122807,0,42.6923076923077,3.98891966759003,390,3.20833333333333,17.1111111111111,32.2666666666667,934,1001
8.38095238095238,1.5042735042735,10.625,28.8,11.4210526315789,3.81818181818182,39.2307692307692,3.55263157894737,468,3.20833333333333,30.3333333333333,20.1666666666667,1417,1380
9.90476190476191,1.33333333333333,0,30.4,5.98245614035088,7.63636363636364,39.2307692307692,3.92659279778393,436.8,4.56944444444444,24.1111111111111,48.4,1708,1820
7.61904761904762,0.41025641025641,0,36.8,16.3157894736842,3.63636363636364,40.3846153846154,3.49030470914127,421.2,3.69444444444444,32.6666666666667,44.3666666666667,1550,1753
6.47619047619048,0.64957264957265,0,32,14.140350877193,0,36.9230769230769,3.49030470914127,343.2,2.43055555555556,13.2222222222222,52.4333333333333,1621,1775
9.14285714285714,1.26495726495727,0,20.8,8.1578947368421,7.45454545454545,25.3846153846154,3.86426592797784,312,2.81944444444444,13.2222222222222,8.06666666666667,1519,1879
7.61904761904762,0.854700854700855,10,22.4,5.43859649122807,11.0909090909091,19.6153846153846,3.67728531855956,327.6,2.91666666666667,19.4444444444444,28.2333333333333,1307,1485
8.38095238095238,1.2991452991453,31.875,38.4,16.859649122807,7.63636363636364,33.4615384615385,3.98891966759003,429,4.08333333333333,13.2222222222222,32.2666666666667,868,1029
7.23809523809524,0.854700854700855,0,30.4,16.859649122807,11.2727272727273,38.0769230769231,4.11357340720222,436.8,4.66666666666667,17.1111111111111,28.2333333333333,1435,1669
7.61904761904762,0.854700854700855,31.25,32,25.0175438596491,7.45454545454545,40.3846153846154,4.17590027700831,429,2.72222222222222,13.2222222222222,32.2666666666667,1779,2189
6.09523809523809,1.05982905982906,10.625,27.2,8.1578947368421,0,28.8461538461538,3.98891966759003,397.8,3.69444444444444,19.4444444444444,52.4333333333333,1674,2246
8,0.854700854700855,0,33.6,16.3157894736842,3.63636363636364,34.6153846153846,3.67728531855956,436.8,3.69444444444444,26.4444444444444,32.2666666666667,1709,2275
8,1.09401709401709,10.625,25.6,11.4210526315789,11.4545454545455,25.3846153846154,3.92659279778393,249.6,3.30555555555556,20.2222222222222,40.3333333333333,1630,2457
9.52380952380952,1.70940170940171,62.5,27.2,8.1578947368421,3.63636363636364,21.9230769230769,4.3005540166205,304.2,3.20833333333333,13.2222222222222,32.2666666666667,1282,2031
9.90476190476191,0.854700854700855,31.25,40,8.1578947368421,7.45454545454545,36.9230769230769,3.67728531855956,397.8,2.81944444444444,10.1111111111111,68.5666666666667,1001,1504
10.2857142857143,0.64957264957265,0,44.8,8.70175438596491,7.45454545454545,33.4615384615385,3.80193905817175,319.8,3.01388888888889,17.1111111111111,68.5666666666667,1380,2385
9.52380952380952,1.05982905982906,20.625,44.8,25.0175438596491,3.63636363636364,30,3.98891966759003,265.2,2.91666666666667,13.2222222222222,68.5666666666667,1820,3191
10.6666666666667,0.64957264957265,10.625,41.6,8.70175438596491,3.81818181818182,35.7692307692308,3.98891966759003,296.4,3.20833333333333,13.2222222222222,108.9,1753,3417
8,0.888888888888889,21.25,41.6,14.140350877193,3.81818181818182,47.3076923076923,3.67728531855956,343.2,3.59722222222222,10.1111111111111,36.3,1775,3432
11.8095238095238,0.888888888888889,10.625,36.8,5.43859649122807,3.81818181818182,21.9230769230769,4.17590027700831,234,1.16666666666667,17.1111111111111,56.4666666666667,1879,3885
8.38095238095238,1.09401709401709,0,33.6,16.859649122807,7.45454545454545,24.2307692307692,3.73961218836565,312,1.26388888888889,13.2222222222222,48.4,1485,3101
11.4285714285714,1.09401709401709,0,57.6,16.859649122807,3.81818181818182,62.3076923076923,3.92659279778393,382.2,2.33333333333333,17.1111111111111,96.8,1029,2328
12.952380952381,0.444444444444445,0,44.8,11.4210526315789,3.81818181818182,46.1538461538462,3.49030470914127,312,2.625,20.2222222222222,108.9,1669,3755
9.14285714285714,1.09401709401709,0,49.6,5.43859649122807,3.81818181818182,47.3076923076923,4.11357340720222,327.6,1.55555555555556,10.1111111111111,121,2189,4942
11.8095238095238,0.854700854700855,21.25,41.6,5.43859649122807,7.63636363636364,24.2307692307692,3.80193905817175,296.4,2.43055555555556,3.11111111111111,72.6,2246,5395
9.90476190476191,0.205128205128205,20.625,36.8,5.43859649122807,3.63636363636364,21.9230769230769,4.3005540166205,163.8,1.06944444444444,3.11111111111111,92.7666666666667,2275,4225
13.3333333333333,0.444444444444445,0,27.2,11.4210526315789,0,27.6923076923077,3.61495844875346,273,1.36111111111111,0,72.6,2457,3574
12.5714285714286,0.205128205128205,31.25,33.6,11.4210526315789,0,26.5384615384615,3.98891966759003,343.2,0.972222222222222,13.2222222222222,92.7666666666667,2031,5017
12.952380952381,0.82051282051282,30.625,52.8,27.1929824561404,7.27272727272727,33.4615384615385,3.1786703601108,358.8,2.23611111111111,6.22222222222222,104.866666666667,1504,4689
