k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
9,5,0,14,22,19,37,16,0,28,0,7,42,82
8,1,0,17,10,7,43,17,29,27,0,17,61,105
9,2,0,11,13,5,27,15,21,17,0,10,45,92
9,3,17,13,12,16,24,15,27,19,0,13,75,113
9,4,0,25,6,11,31,16,21,25,0,17,72,110
8,5,0,16,19,4,38,16,14,25,0,17,44,138
10,6,35,20,3,14,34,17,7,22,0,10,46,127
12,6,0,36,13,7,36,21,28,22,0,3,70,194
11,6,17,35,25,11,39,17,21,17,0,23,58,250
11,5,0,24,16,12,35,15,35,13,0,13,64,274
12,7,52,27,22,5,23,14,21,12,0,23,55,208
12,7,17,31,18,2,38,13,27,20,0,29,43,176
10,4,0,34,3,10,36,13,0,16,0,10,57,208
9,3,0,34,16,7,34,13,28,18,0,27,96,207
13,7,0,50,19,18,43,14,0,18,0,27,82,355
16,6,0,53,10,7,35,14,29,13,50,17,105,430
12,6,0,28,16,5,27,14,29,10,0,17,92,386
15,8,18,48,19,11,26,13,7,10,0,14,113,407
20,10,0,60,13,5,55,16,7,16,0,41,110,259
17,4,0,62,19,7,62,15,43,13,0,48,138,333
19,4,18,64,16,7,48,16,59,13,0,42,127,450
22,6,0,73,20,15,43,17,37,9,0,35,194,624
25,10,18,77,20,13,50,16,22,12,0,56,250,597
19,7,17,47,21,0,32,12,34,6,0,23,274,661
23,5,0,45,26,2,32,13,15,11,0,31,208,511
22,7,18,69,33,7,48,13,29,11,0,59,176,418
23,8,53,60,19,13,48,14,43,12,0,58,208,632
23,9,0,66,19,5,51,13,22,9,0,65,207,795
25,7,0,66,19,13,27,13,29,8,0,61,355,981
24,10,0,55,35,5,22,11,43,5,0,20,430,779
23,7,0,50,29,11,22,11,29,6,0,68,386,801
28,9,0,51,38,5,23,11,35,8,0,84,407,839
29,7,18,77,45,9,45,12,51,10,0,65,259,600
23,10,0,86,19,7,50,14,43,10,0,44,333,985
31,8,0,99,52,9,60,13,29,10,0,83,450,1270
30,10,18,96,39,5,51,13,51,7,0,55,624,1308
31,6,0,100,23,9,47,13,22,7,0,80,597,1586
30,8,18,67,27,15,28,14,15,6,52,46,661,1534
30,6,0,78,30,7,26,12,44,5,0,67,511,1331
30,9,36,93,29,16,36,12,22,8,0,96,418,965
26,6,0,81,33,11,40,12,22,7,0,69,632,1246
23,5,18,76,42,11,43,13,7,7,0,100,795,1355
24,6,36,79,36,9,43,13,14,7,0,58,981,1485
22,5,0,75,29,9,43,13,15,5,0,48,779,1605
22,7,18,54,30,11,22,12,37,4,0,49,801,1571
22,7,18,49,13,7,22,11,15,3,0,31,839,1441
24,4,18,67,26,5,25,10,29,3,0,34,600,838
21,8,0,80,9,7,43,10,21,5,0,64,985,697
17,5,0,49,38,7,34,10,43,4,0,44,1270,979
20,4,0,56,19,2,25,9,43,4,0,51,1308,1173
19,6,0,49,13,7,26,8,28,3,0,67,1586,1356
21,7,18,48,30,6,21,9,0,3,0,28,1534,1231
23,6,0,39,16,0,20,9,22,3,0,38,1331,1017
25,7,18,55,32,4,32,10,22,4,100,45,965,647
19,5,36,46,16,7,32,10,44,6,51,31,1246,916
18,5,18,53,16,4,27,11,44,4,51,49,1355,1069
15,3,18,61,20,7,42,11,30,5,0,49,1485,1178
15,4,18,41,20,9,36,10,44,5,0,41,1605,1037
14,1,0,27,20,8,18,11,15,2,0,21,1571,984
14,4,0,32,16,5,22,9,36,2,0,27,1441,744
15,2,18,46,23,4,37,11,22,4,0,35,838,493
15,2,0,51,17,6,39,11,7,5,0,57,697,715
15,4,18,48,33,2,34,10,15,4,0,60,979,903
14,4,0,58,13,4,32,9,7,3,0,56,1173,863
10,1,0,48,13,2,33,9,7,4,0,46,1356,876
10,1,18,21,30,2,19,10,15,2,0,18,1231,844
11,4,0,21,20,4,16,10,30,3,0,24,1017,600
15,4,0,43,10,7,31,8,22,4,0,41,647,436
13,3,18,37,7,9,26,8,22,7,0,38,916,633
12,5,18,35,26,0,22,8,36,4,0,24,1069,592
10,3,18,37,16,2,41,8,15,3,0,28,1178,657
9,2,0,29,7,11,32,7,7,3,0,18,1037,587
9,2,0,21,16,4,17,8,0,1,0,7,984,598
8,2,0,13,9,5,12,6,0,1,0,10,744,451
8,2,0,29,13,5,22,7,22,2,0,21,493,291
8,2,0,27,7,7,22,8,15,2,0,17,715,509
8,2,0,29,10,7,24,8,15,2,0,32,903,508
11,2,0,29,10,11,24,8,7,3,0,28,863,712
10,2,0,27,23,4,27,8,7,2,0,17,876,642
9,3,0,18,10,6,23,8,29,2,0,34,844,646
8,2,36,16,3,4,17,8,15,2,0,24,600,439
9,2,0,27,17,7,23,7,44,3,0,18,436,266
9,2,18,31,17,4,23,7,23,2,0,25,633,531
6,2,0,34,17,4,32,8,37,3,0,3,592,551
7,1,0,25,17,4,19,7,15,4,0,14,657,489
8,1,0,22,20,4,31,6,0,5,0,25,587,572
8,2,0,16,10,6,12,7,8,5,0,29,598,596
10,3,37,16,14,4,7,6,15,3,0,11,451,480
8,3,0,14,33,6,12,6,15,3,0,11,291,310
11,2,18,19,10,0,13,6,29,3,0,7,509,331
9,3,18,26,23,2,14,6,15,3,0,17,508,219
11,2,18,29,30,6,21,6,7,3,0,10,712,482
8,3,19,26,18,0,23,6,8,3,0,22,642,573
9,1,0,18,14,12,16,6,8,2,0,11,646,639
8,1,0,14,13,8,9,6,22,2,0,25,439,485
9,1,0,31,14,6,27,6,16,3,0,7,266,302
8,2,19,25,21,2,25,6,16,3,0,15,531,527
8,1,0,23,7,2,37,6,23,3,0,18,551,576
8,2,0,23,7,2,23,6,15,2,0,15,489,633
8,4,0,25,11,0,30,6,16,3,0,7,572,542
11,2,19,9,14,4,21,6,16,2,0,15,596,574
11,2,0,20,27,0,20,8,15,1,0,14,480,400
10,3,0,27,3,12,32,6,23,2,0,25,310,279
12,2,19,27,14,4,26,6,31,2,54,37,331,500
8,1,0,25,7,4,29,6,16,3,0,11,219,506
8,1,0,27,17,4,22,6,15,2,0,15,482,627
8,1,0,24,26,2,20,6,16,2,0,27,573,603
7,3,0,16,21,2,10,5,31,1,0,7,639,678
12,1,20,12,14,6,10,6,16,1,0,11,485,436
11.6,1,20,21.6,10.6666666666667,3.09090909090909,25.7142857142857,5.89473684210526,28,3,0,51.3333333333333,302,278
10,0.333333333333333,40,24,14,6,16.4285714285714,6.10526315789474,16,3,0,20.1666666666667,527,498
9.2,0.666666666666667,20,16,14,0,21.4285714285714,7.05263157894737,16,8.33333333333333,0,16.5,576,552
10.4,1.36666666666667,0,15.2,21.3333333333333,6.18181818181818,17.8571428571429,6.63157894736842,8,33.3333333333333,0,53.1666666666667,633,708
9.6,0.866666666666667,0,14.4,10.6666666666667,9.27272727272727,19.2857142857143,6.10526315789474,0,14,0,36.6666666666667,542,639
9.6,1.03333333333333,0,13.6,10.6666666666667,6.18181818181818,12.8571428571429,6.31578947368421,16,8,0,16.5,574,623
9.6,0.5,20.625,8.8,10.6666666666667,6.18181818181818,17.1428571428571,6.21052631578947,8,6,0,11,400,430
10.8,0.866666666666667,20.625,17.6,22,3.09090909090909,17.8571428571429,5.68421052631579,20,8.33333333333333,0,36.6666666666667,279,316
12.4,0.733333333333333,0,19.2,11.3333333333333,9.63636363636364,23.5714285714286,6.10526315789474,56,7.33333333333333,0,38.5,500,481
12,1.2,0,16,22,3.09090909090909,13.5714285714286,7.36842105263158,28,7.33333333333333,0,27.5,506,615
9.2,1.2,0,14.4,14.6666666666667,6.18181818181818,16.4285714285714,6.84210526315789,28,4,0,25.6666666666667,627,616
8.4,0.333333333333333,20.625,12,7.33333333333333,9.27272727272727,18.5714285714286,6.10526315789474,8,3.66666666666667,0,16.5,603,745
8.8,0.866666666666667,0,10.4,10.6666666666667,12.3636363636364,12.1428571428571,6.31578947368421,8,5,0,22,678,726
8,1.2,20.625,13.6,21.3333333333333,3.09090909090909,10,6.31578947368421,8,4.66666666666667,0,51.3333333333333,436,493
