日,マスク: (日本)
2021-04-12,75
2021-04-13,75
2021-04-14,73
2021-04-15,80
2021-04-16,68
2021-04-17,77
2021-04-18,80
2021-04-19,74
2021-04-20,79
2021-04-21,85
2021-04-22,79
2021-04-23,73
2021-04-24,78
2021-04-25,84
2021-04-26,71
2021-04-27,85
2021-04-28,71
2021-04-29,80
2021-04-30,67
2021-05-01,71
2021-05-02,74
2021-05-03,84
2021-05-04,64
2021-05-05,76
2021-05-06,75
2021-05-07,74
2021-05-08,78
2021-05-09,84
2021-05-10,87
2021-05-11,81
2021-05-12,82
2021-05-13,100
2021-05-14,82
2021-05-15,78
2021-05-16,82
2021-05-17,86
2021-05-18,79
2021-05-19,83
2021-05-20,72
2021-05-21,72
2021-05-22,80
2021-05-23,79
2021-05-24,73
2021-05-25,76
2021-05-26,70
2021-05-27,83
2021-05-28,76
2021-05-29,75
2021-05-30,82
2021-05-31,80
2021-06-01,79
2021-06-02,85
2021-06-03,77
2021-06-04,66
2021-06-05,76
2021-06-06,77
2021-06-07,73
2021-06-08,78
2021-06-09,84
2021-06-10,71
2021-06-11,71
2021-06-12,66
2021-06-13,68
2021-06-14,66
2021-06-15,76
2021-06-16,70
2021-06-17,66
2021-06-18,67
2021-06-19,64
2021-06-20,68
2021-06-21,68
2021-06-22,69
2021-06-23,64
2021-06-24,57
2021-06-25,52
2021-06-26,64
2021-06-27,69
2021-06-28,64
2021-06-29,57
2021-06-30,63
2021-07-01,56
2021-07-02,56
2021-07-03,62
2021-07-04,59
2021-07-05,64
2021-07-06,66
2021-07-07,67
2021-07-08,64
2021-07-09,59
2021-07-10,63
2021-07-11,69
2021-07-12,59
2021-07-13,61
2021-07-14,64
2021-07-15,64
2021-07-16,59
2021-07-17,67
2021-07-18,60
2021-07-19,63
2021-07-20,56
2021-07-21,66
2021-07-22,61
2021-07-23,69
2021-07-24,58
2021-07-25,64
2021-07-26,51
2021-07-27,58
2021-07-28,58
2021-07-29,66
2021-07-30,55
2021-07-31,61
2021-08-01,62
2021-08-02,60
2021-08-03,62
2021-08-04,65
2021-08-05,65
2021-08-06,57
2021-08-07,70
2021-08-08,61
2021-08-09,65
2021-08-10,60
2021-08-11,55
2021-08-12,58
2021-08-13,62
2021-08-14,61
2021-08-15,56
2021-08-16,63
2021-08-17,67
2021-08-18,77
2021-08-19,69
2021-08-20,77
